segment,dongle,platform,mean_v,max_v,engaged_frac,rlog_url
fc76cf2b65550db6/0000006c--a22bb80c53--5,fc76cf2b65550db6,VOLKSWAGEN_ID4_MK1,22.072750539779662,22.203227996826172,1.0,http://data-fallback.comma.life:8080/fc76cf2b65550db6/0000006c--a22bb80c53/5/rlog.zst
059878a793f8f288/00000702--a1330a9fa8--5,059878a793f8f288,VOLKSWAGEN_ID4_MK1,34.89458515803019,35.01483154296875,1.0,http://data-fallback.comma.life:8080/059878a793f8f288/00000702--a1330a9fa8/5/rlog.zst
63c4d8470902a8e7/00000348--e3cbc5fd26--51,63c4d8470902a8e7,VOLKSWAGEN_ID4_MK1,25.43529593149821,27.5352840423584,1.0,http://data-fallback.comma.life:8080/63c4d8470902a8e7/00000348--e3cbc5fd26/51/rlog.zst
7d96ac8f3155dca8/00000065--39f263064e--155,7d96ac8f3155dca8,VOLKSWAGEN_ID4_MK1,40.33995881398519,40.66054153442383,1.0,http://data-fallback.comma.life:8080/7d96ac8f3155dca8/00000065--39f263064e/155/rlog.zst
81dd9e9fe256c397/0000002f--bff24fca36--2,81dd9e9fe256c397,VOLKSWAGEN_ID4_MK1,23.678774518966677,28.549482345581055,0.0,http://data-fallback.comma.life:8080/81dd9e9fe256c397/0000002f--bff24fca36/2/rlog.zst
862ee7dd767bf07f/0000017f--5b59b519bf--13,862ee7dd767bf07f,VOLKSWAGEN_ID4_MK1,68.265625,68.265625,0.0,http://data-fallback.comma.life:8080/862ee7dd767bf07f/0000017f--5b59b519bf/13/rlog.zst
aebd8f1d4ea16066/00000107--0358d3ddb0--6,aebd8f1d4ea16066,VOLKSWAGEN_ID4_MK1,39.67628836313884,40.362449645996094,1.0,http://data-fallback.comma.life:8080/aebd8f1d4ea16066/00000107--0358d3ddb0/6/rlog.zst
dab4c3d4c55934f5/00000338--63df4eb776--5,dab4c3d4c55934f5,VOLKSWAGEN_ID4_MK1,28.270215559005738,28.399063110351562,1.0,http://data-fallback.comma.life:8080/dab4c3d4c55934f5/00000338--63df4eb776/5/rlog.zst
fc76cf2b65550db6/0000006c--a22bb80c53--6,fc76cf2b65550db6,VOLKSWAGEN_ID4_MK1,21.984912096659343,24.513668060302734,1.0,http://data-fallback.comma.life:8080/fc76cf2b65550db6/0000006c--a22bb80c53/6/rlog.zst
059878a793f8f288/000006f7--12e65cb921--9,059878a793f8f288,VOLKSWAGEN_ID4_MK1,34.89328304290771,35.0351448059082,1.0,http://data-fallback.comma.life:8080/059878a793f8f288/000006f7--12e65cb921/9/rlog.zst
